ID,DESCRICAO,PRECOVENDA,CODBARRAS
249,MANICOTO DIREITO TITAN KS ( SEM ROSCA),"25,00",7898435531267
250,MANETE   DO FREIO CBX 200,"10,00",NULL
251,MANICOTO CG 83/86 TITAN KS - COMETA MOTOS,"10,00",NULL
252,RAIO DIANT BROS 125,"60,00",NULL
253,RAIO HONDA CROM  BROS 125/150 - DDL,"95,00",7898944030343
254,RAIO BIZ TRASEIRA CROMADO 4MM P/ BIZ -EVOL,"55,00",NULL
255,RAIO NXR 150/125 4MM - MAX,"65,00",NULL
256,RAIO DIANT 125/150/160 KS 4MM CROM,"70,00",7908217212656
257,RAIO DIANT NXE 150 BROS 150 FREIO A DISCO,"65,00",NULL
258,RAIO DIANT NXR 125 NXR 150 BROS KS/ES/ESD,"65,00",NULL
259,RAIO TRAS CG 125 4MM,"70,00",7898440476171
260,RAIO BIZ DIANT CROMADO 4MM-EVOL,"55,00",NULL
261,RAIO XL 125 DIANT C/ NIPLE ACO,"60,00",NULL
262,"RAIO XL NX XR TRAS CROM 3,2 MM","90,00",7898944036031
263,MANETE  FREIO XLR XLX XLS FALCON NXR BROS 125/150,"10,00",NULL
264,MANETE  EMBREAGEM COMP/ YBR 125,"10,00",NULL
265,CAPA CORRENTE DA CB 300 /PLASMOTOS,"30,00",NULL
266,MANETE FREIO BIZ 125 - COMETA,"20,00",7898435532530
267,MANICOTO ESQUERDO COMP/ TITAN KS 2000 - PROTEC,"10,00",NULL
268,DISCO  DE FREIO DIANT GP CG 150 2009 - GP,"120,00",7899248191372
269,CUBO DA RODA TRASEIRA POP 100 - FABRECK,"90,00",NULL
270,CUBO DA RODA TRASEIRA BROS 150/125 - FABRECK,"185,00",NULL
271,RAIO  TRASEIRO  BIZ/POP 4MM - DDL,"58,00",NULL
272,CAPA DE BANCO TERMICAKS/ES/TI-150 TAMANHO XL,"40,00",NULL
273,CAPA DE BANCO TERMICA AZUL KS/ES/TI-150TAMANHO XL,"40,00",NULL
274,CAPA DE BANCO TERMICA PRETA POP 100 TAMANHO XXL,"40,00",NULL
275,PATINS DE FREIO TITAN 2000 KS(D/T) TITAN ES DIAFRA,"30,00",NULL
276,LONA DE FREIO CRIPTON TRAS/DIANT 98 - COFAP,"20,00",NULL
277,RAIO  TRASEIRO  TITAN 2000 150 FAN ES/KS 4MM - GRA,"55,00",NULL
278,GARFO BENG COMP ESQUERDO CG125/TODAY/TITAN,"185,00",NULL
279,GARFO BENG COMP DIREITO CG125/TODAY/TITAN,"185,00",NULL
280,GARFO BENG COMP ESQUERDO TITAN 150KS - GRAPEX,"220,00",NULL
281,GARFO BENG COMP DIREITO TITAN 150KS - GRAPEX,"165,00",NULL
282,BAGAGEIRO TRAS FERRO MACICO TITAN 150 - PRO TORK,"45,00",NULL
283,BAGAGEIRO TRAS FERRO MACICO CG 125 - TORK,"40,00",NULL
284,ALCA  ORI TT 95 99 PRETO- POLIMET,"85,00",7896963606297
285,BAGAGEIRO TRAS FERRO MACICO YBR - TORK,"40,00",NULL
286,BAGAGEIRO TRAS BIZ FERRO MACICO ICO PRETO,"53,00",NULL
287,BAGAGEIRO BASE TUB CG FAN 150 14 MODELO 04 PR - PO,"58,00",NULL
288,BAGAGEIRO TUBULAR125/150  FAN(09) DIANT PR - POLIM,"50,00",NULL
289,BAGAGEIRO COMP TITAN 2000 PRETO - PRO TORK,"38,00",NULL
290,BAGAGEIRO COMP CG TITAN 150 - MS,"45,00",NULL
291,ALCA ESPORTIVA TRAS POP 100 PRETA,"50,00",NULL
292,ALCA COMP TITAN ES/KS - TORK,"45,00",NULL
293,ALCA MOD ORIG TT 150/FAN 09 CROMADA -POLIMET,"95,00",7896963610201
294,ALCA TRAS CG TITAN TITAN 150 SPORT 04/08 ESPECIAL PRETO,"90,00",3565922
295,ALCA ESPORTIVA  FAN/TT 150 ALTA/PR,"45,00",NULL
296,BAGAGEIRO YBR,"55,00",NULL
297,GUIDAO TITAN 150 KS/ES/ESD/JOB ATE 2013 CR,"40,00",NULL
298,GUIDAO BIZ 100,"100,00",NULL
299,GUIDAO CBX 250 TWISTTER CR - POLIMET,"48,00",NULL
300,,"85,00",NULL
301,CAVALETE CENTRAL TITAN 2000,"48,00",NULL
302,CAVALETE CENTRAL  TITAN 150 COMPLETO,"75,00",NULL
